Title,Success
Experimental investigation of a novel class of self-centring spinal rocking column,3.7
Computationally efficient methods for fitting mixed models to electronic health records data,2.49
Responsive cellulose-hydrogel composite ink for 4D printing,5.66
Three-dimensional stress analysis for laminated composite and sandwich structures,5.91
"Temporal evolution of the magmatic system at Tungurahua Volcano, Ecuador, detected by geodetic observations",2.96
Search for CP violation in Λb 0→pK− and Λb 0→pπ− decays,0.5
Modelling indirect interactions during failure spreading in a project activity network,5.86
"Examining the wider context of formal youth mentoring programme development, delivery and maintenance: A qualitative study with mentoring managers and experts in the United Kingdom",2.3
Link prediction for interdisciplinary collaboration via co-authorship network,2.74
Meffil: efficient normalization and analysis of very large DNA methylation datasets,Journal Not Found
"Glass ionomer cements with milled, dry chlorhexidine hexametaphosphate filler particles to provide long-term antimicrobial properties with recharge capacity",5.03
Regional and global under-recording of large explosive eruptions in the last 1000 years,Journal Not Found
Experimentally manipulating light spectra reveals the importance of dark corridors for commuting bats,9.62
Iridescence impairs object recognition in bumblebees,4.86
A systematic review of the next-day effects of heavy alcohol consumption on cognitive performance,3.85
The hospital provision of reasonable adjustments for people with learning disabilities: Findings from Freedom of Information requests,1.43
The de novo design of a biocompatible and functional integral membrane protein using minimal sequence complexity,4.86
Spatial pattern of plutonium and radiocaesium contamination released during the Fukushima Daiichi nuclear power plant disaster,4.86
Maintaining and breaking symmetry in homomeric coiled-coil assemblies,12.91
Asymmetric ommatidia count and behavioural lateralization in the ant Temnothorax albipennis,5.86
Using long term mortality to determine which perioperative risk factors of mortality following hip and knee replacement may be causal,4.86
Cortactin regulates endo-lysosomal sorting of AMPARs via direct interaction with GluA2 subunit,5.86
Therapeutic approaches targeting inflammation in cardiovascular disorders,Journal Not Found
MEF2A regulates mGluR-dependent AMPA receptor trafficking independently of Arc/Arg3.1,5.86
Local structure in deeply supercooled liquids exhibits growing lengthscales and dynamical correlations,13.91
Psychosocial characteristics as potential predictors of suicide in adults: An overview of the evidence with new results from prospective cohort studies /692/699 /631/477/2811 review-article,9.36
Controls on explosive-effusive volcanic eruption styles,13.91
"Enhanced insulin receptor, but not PI3K, signalling protects podocytes from ER stress",4.86
Dual Role of CREB in The Regulation of VSMC Proliferation: Mode of Activation Determines Pro- or Anti-Mitogenic Function,4.86
A comparative analysis of rod bipolar cell transcriptomes identifies novel genes implicated in night vision,4.86
Practical Three-Minute Synthesis of Acid-Coated Fluorescent Carbon Dots with Tuneable Core Structure,4.86
De novo targeting to the cytoplasmic and luminal side of bacterial microcompartments,13.91
Experimental subaqueous burial of a bird carcass and compaction of plumage,1.77
Dynamical origins of heat capacity changes in enzyme-catalysed reactions,17.91
Restriction estimates of ε -removal type for k-th powers and paraboloids,1.77
Black-headed gulls synchronise their activity with their nearest neighbours,4.86
ON-OFF receptive fields in auditory cortex diverge during development and contribute to directional sweep selectivity,14.91
Postsynaptic p47phox regulates long-term depression in the hippocampus,Journal Not Found
Detecting RNA base methylations in single cells by in situ hybridization,14.91
Tunable Magnetocaloric Effect in Ni-Mn-Ga Microwires,4.86
Associations of social and economic and pregnancy exposures with blood pressure in UK White British and Pakistani children age,4.86
"Novel 3D Liquid Cell Culture Method for Anchorage-independent Cell Growth, Cell Imaging and Automated Drug Screening",4.86
Secretory factors from OP9 stromal cells delay differentiation and increase the expansion potential of adult erythroid cells in vitro,5.86
Investigating the genetic architecture of general and specific psychopathology in adolescence,5.36
Juvenile bovine bone is an appropriate surrogate for normal and reduced density human bone in biomechanical testing: A validation study,5.86
Exploring the utility of alcohol flushing as an instrumental variable for alcohol intake in Koreans /692/699/75/243 /692/499 /45/43 /141 article,4.86
Assessing animal affect: an automated and self-initiated judgement bias task based on natural investigative behaviour,4.86
"Cinacalcet use and the risk of cardiovascular events, fractures and mortality in chronic kidney disease patients with secondary hyperparathyroidism",5.86
Determinants of E2-ubiquitin conjugate recognition by RBR E3 ligases,5.86
Optimized delivery of siRNA into 3D tumor spheroid cultures in situ,4.86
Bifurcations of Limit Cycles in a Reduced Model of the Xenopus Tadpole Central Pattern Generator,2.5
Treatment adherence and BMI reduction are key predictors of HbA1c 1 year after diagnosis of childhood type 2 diabetes in the United Kingdom,5.49
Spin-orbit interaction of light induced by transverse spin angular momentum engineering,15.91
Nanostructured titanium surfaces exhibit recalcitrance towards Staphylococcus epidermidis biofilm formation,9.86
Species replacement dominates megabenthos beta diversity in a remote seamount setting,5.86
