Title,Total Abstract Length,Perc common English words,Perc common technical words,Perc keywords
Experimental investigation of a novel class of self-centring spinal rocking column,171,38.01,27.49,34.5
Computationally efficient methods for fitting mixed models to electronic health records data,208,35.1,23.56,41.35
Responsive cellulose-hydrogel composite ink for 4D printing,186,36.02,13.44,50.54
Three-dimensional stress analysis for laminated composite and sandwich structures,280,33.57,17.86,48.57
"Temporal evolution of the magmatic system at Tungurahua Volcano, Ecuador, detected by geodetic observations",221,39.37,17.65,42.99
Search for CP violation in Λb 0→pK− and Λb 0→pπ− decays,203,40.39,12.81,46.8
 J.M.,155,36.77,12.9,50.32
Modelling indirect interactions during failure spreading in a project activity network,51,33.33,27.45,39.22
"Examining the wider context of formal youth mentoring programme development, delivery and maintenance: A qualitative study with mentoring managers and experts in the United Kingdom",139,23.74,28.78,47.48
Link prediction for interdisciplinary collaboration via co-authorship network,256,32.42,19.14,48.44
Meffil: efficient normalization and analysis of very large DNA methylation datasets,135,39.26,20,40.74
"Glass ionomer cements with milled, dry chlorhexidine hexametaphosphate filler particles to provide long-term antimicrobial properties with recharge capacity",292,35.62,16.1,48.29
Regional and global under-recording of large explosive eruptions in the last 1000 years,121,38.84,19.01,42.15
Experimentally manipulating light spectra reveals the importance of dark corridors for commuting bats,312,28.21,20.83,50.96
Iridescence impairs object recognition in bumblebees,477,42.56,19.5,37.95
A systematic review of the next-day effects of heavy alcohol consumption on cognitive performance,198,35.86,6.57,57.58
The hospital provision of reasonable adjustments for people with learning disabilities: Findings from Freedom of Information requests,198,32.83,15.66,51.52
The de novo design of a biocompatible and functional integral membrane protein using minimal sequence complexity,149,36.91,11.41,51.68
Spatial pattern of plutonium and radiocaesium contamination released during the Fukushima Daiichi nuclear power plant disaster,197,39.59,14.72,45.69
Maintaining and breaking symmetry in homomeric coiled-coil assemblies,232,35.34,18.97,45.69
Asymmetric ommatidia count and behavioural lateralization in the ant Temnothorax albipennis,204,36.76,7.35,55.88
Using long term mortality to determine which perioperative risk factors of mortality following hip and knee replacement may be causal,194,38.14,13.4,48.45
Cortactin regulates endo-lysosomal sorting of AMPARs via direct interaction with GluA2 subunit,140,39.29,12.14,48.57
Therapeutic approaches targeting inflammation in cardiovascular disorders,153,35.29,22.22,42.48
MEF2A regulates mGluR-dependent AMPA receptor trafficking independently of Arc/Arg3.1,217,38.25,18.43,43.32
Local structure in deeply supercooled liquids exhibits growing lengthscales and dynamical correlations,109,38.53,10.09,51.38
Psychosocial characteristics as potential predictors of suicide in adults: An overview of the evidence with new results from prospective cohort studies /692/699 /631/477/2811 review-article,196,30.1,6.12,63.78
Controls on explosive-effusive volcanic eruption styles,196,30.1,18.37,51.53
"Enhanced insulin receptor, but not PI3K, signalling protects podocytes from ER stress",175,34.29,15.43,50.29
Dual Role of CREB in The Regulation of VSMC Proliferation: Mode of Activation Determines Pro- or Anti-Mitogenic Function,82,34.15,9.76,56.1
A comparative analysis of rod bipolar cell transcriptomes identifies novel genes implicated in night vision,155,38.71,9.68,51.61
Practical Three-Minute Synthesis of Acid-Coated Fluorescent Carbon Dots with Tuneable Core Structure,232,39.66,12.07,48.28
De novo targeting to the cytoplasmic and luminal side of bacterial microcompartments,143,34.27,13.99,51.75
Experimental subaqueous burial of a bird carcass and compaction of plumage,96,41.67,6.25,52.08
Dynamical origins of heat capacity changes in enzyme-catalysed reactions,150,38,26.67,35.33
Restriction estimates of ε -removal type for k-th powers and paraboloids,147,42.18,8.84,48.98
Black-headed gulls synchronise their activity with their nearest neighbours,124,35.48,12.9,51.61
ON-OFF receptive fields in auditory cortex diverge during development and contribute to directional sweep selectivity,102,25.49,11.76,62.75
Postsynaptic p47phox regulates long-term depression in the hippocampus,203,29.56,12.32,58.13
Detecting RNA base methylations in single cells by in situ hybridization,201,34.83,13.43,51.74
Tunable Magnetocaloric Effect in Ni-Mn-Ga Microwires,201,37.31,11.94,50.75
Associations of social and economic and pregnancy exposures with blood pressure in UK White British and Pakistani children age,203,37.44,18.72,43.84
"Novel 3D Liquid Cell Culture Method for Anchorage-independent Cell Growth, Cell Imaging and Automated Drug Screening",247,36.44,16.6,46.96
Secretory factors from OP9 stromal cells delay differentiation and increase the expansion potential of adult erythroid cells in vitro,203,29.06,14.29,56.65
Investigating the genetic architecture of general and specific psychopathology in adolescence,207,35.75,12.08,52.17
Juvenile bovine bone is an appropriate surrogate for normal and reduced density human bone in biomechanical testing: A validation study,207,33.82,20.29,45.89
Exploring the utility of alcohol flushing as an instrumental variable for alcohol intake in Koreans /692/699/75/243 /692/499 /45/43 /141 article,202,31.68,11.39,56.93
Assessing animal affect: an automated and self-initiated judgement bias task based on natural investigative behaviour,188,38.83,10.11,51.06
"Cinacalcet use and the risk of cardiovascular events, fractures and mortality in chronic kidney disease patients with secondary hyperparathyroidism",203,32.02,10.84,57.14
Determinants of E2-ubiquitin conjugate recognition by RBR E3 ligases,213,36.62,17.37,46.01
